央视频-央视频道,#genre#
探索動力 DMAX,p5p://45.92.126.18:9906/6043467c000301e806be22909a147731
探索家庭 EVE,p5p://45.92.126.18:9906/60689d110008d7a31345719a76b95329
國家地理,p5p://45.92.126.18:9906/6043485f000c065106c583978afda437
國家地理人文,p5p://45.92.126.18:9906/6043ffe3000c6f3709925f52585be323.ts
國家野生,p5p://45.92.126.18:9906/604401050005fe790996ca7b4ed24991.ts
動物星球,p5p://45.92.126.18:9906/60440362000e75bc09a007eeaa0519c7.ts
狼谷競技,p5p://45.92.126.18:9906/6045b7460004ba730666cd212d07958d.ts
影迷數位電影台,p5p://45.92.126.18:9906/6068a2650003dd4d135a407336ec164f.ts
鳳凰資訊台,p5p://fccs.123178.top:9906/604354a700001c2706f579cae17a48f1.ts
鳳凰中文台,p5p://fccs.123178.top:9906/604355380000ff4606f7b06cbafec3a5.ts
鳳凰香港,p5p://fccs.123178.top:9906/604355eb000c9c6806fa6e9daf90ff12.ts
私人影院,p5p://fccs.123178.top:9906/612b76530005bddc0079e572c66e5249
J2,p5p://fccs.123178.top:9906/60435877000a8705070460f5c3c8cb04
